0,0,439,598,;4;3;2;1;0;7;6;5;394.7107;407.8909;439.7107;471.5305;484.7107;471.5305;439.7107;407.8909;598.2893;630.10913;643.2893;630.10913;598.2893;566.4695;553.2893;566.4695
1,1,539,598,;0;1;2;3;4;5;6;7;584.7107;571.5305;539.7107;507.8909;494.7107;507.8909;539.7107;571.5305;598.2893;630.10913;643.2893;630.10913;598.2893;566.4695;553.2893;566.4695
2,0,610,527,;2;1;0;7;6;5;4;3;610.4214;642.2412;655.4214;642.2412;610.4214;578.60156;565.4214;578.60156;572.5786;559.39844;527.5786;495.7588;482.5786;495.75882;527.5786;559.39844
3,1,369,527,;6;7;0;1;2;3;4;5;369.0;337.1802;324.0;337.1802;369.0;400.8198;414.0;400.8198;572.5786;559.39844;527.5786;495.75882;482.5786;495.7588;527.5786;559.39844
4,0,369,427,;6;5;4;3;2;1;0;7;369.0;337.1802;324.0;337.1802;369.0;400.8198;414.0;400.8198;382.5786;395.75882;427.5786;459.3984;472.5786;459.3984;427.5786;395.7588
5,1,439,356,;4;5;6;7;0;1;2;3;394.7107;407.8909;439.7107;471.5305;484.7107;471.5305;439.7107;407.8909;356.86792;325.04813;311.86792;325.0481;356.86792;388.6877;401.86792;388.6877
6,0,539,356,;0;7;6;5;4;3;2;1;584.7107;571.5305;539.7107;507.8909;494.7107;507.8909;539.7107;571.5305;356.86792;325.0481;311.86792;325.04813;356.86792;388.6877;401.86792;388.6877
7,1,610,427,;2;3;4;5;6;7;0;1;610.4214;642.2412;655.4214;642.2412;610.4214;578.60156;565.4214;578.60156;382.5786;395.7588;427.5786;459.3984;472.5786;459.3984;427.5786;395.75882
8,0,681,356,;4;3;2;1;0;7;6;5;636.1321;649.31226;681.1321;712.9519;726.1321;712.9519;681.1321;649.31226;356.86792;388.6877;401.86792;388.6877;356.86792;325.0481;311.86792;325.04813
9,1,610,286,;6;7;0;1;2;3;4;5;610.4214;578.60156;565.4214;578.60156;610.4214;642.2412;655.4214;642.2412;331.15723;317.97702;286.15723;254.33743;241.15723;254.33742;286.15723;317.97702
10,0,539,215,;4;3;2;1;0;7;6;5;494.7107;507.8909;539.7107;571.5305;584.7107;571.5305;539.7107;507.8909;215.44655;247.26636;260.44653;247.26636;215.44655;183.62674;170.44655;183.62674
11,1,439,215,;0;1;2;3;4;5;6;7;484.7107;471.5305;439.7107;407.8909;394.7107;407.8909;439.7107;471.5305;215.44655;247.26636;260.44653;247.26636;215.44655;183.62674;170.44655;183.62674
12,0,369,286,;2;1;0;7;6;5;4;3;369.0;400.8198;414.0;400.8198;369.0;337.1802;324.0;337.1802;331.15723;317.97702;286.15723;254.33742;241.15723;254.33743;286.15723;317.97702
13,1,298,356,;0;1;2;3;4;5;6;7;343.2893;330.1091;298.2893;266.4695;253.2893;266.4695;298.2893;330.1091;356.86792;388.6877;401.86792;388.6877;356.86792;325.04813;311.86792;325.0481
