0,1,200,400,;0;1;2;3;4;5;6;7;245.0;231.81981;200.0;168.18019;155.0;168.18019;200.0;231.8198;400.0;431.8198;445.0;431.8198;400.0;368.1802;355.0;368.18018
1,0,129,470,;2;1;0;7;6;5;4;3;129.0;160.81981;174.0;160.8198;129.0;97.18019;84.0;97.18019;515.0;501.8198;470.0;438.18018;425.0;438.1802;470.0;501.8198
2,1,129,570,;2;3;4;5;6;7;0;1;129.0;160.8198;174.0;160.81981;129.0;97.18019;84.0;97.18019;525.0;538.1802;570.0;601.8198;615.0;601.8198;570.0;538.1802
3,0,199,640,;0;7;6;5;4;3;2;1;244.0;230.8198;199.0;167.18019;154.0;167.18019;199.0;230.81981;640.0;608.1802;595.0;608.1802;640.0;671.8198;685.0;671.8198
4,1,299,640,;4;5;6;7;0;1;2;3;254.0;267.1802;299.0;330.8198;344.0;330.8198;299.0;267.1802;640.0;608.1802;595.0;608.1802;640.0;671.8198;685.0;671.8198
5,1,470,570,;2;3;4;5;6;7;0;1;470.0;501.8198;515.0;501.8198;470.0;438.1802;425.0;438.1802;525.0;538.1802;570.0;601.8198;615.0;601.8198;570.0;538.1802
6,0,470,470,;2;1;0;7;6;5;4;3;470.0;501.8198;515.0;501.8198;470.0;438.1802;425.0;438.1802;515.0;501.8198;470.0;438.18018;425.0;438.1802;470.0;501.8198
7,0,300,400,;4;3;2;1;0;7;6;5;255.0;268.1802;300.0;331.8198;345.0;331.8198;300.0;268.1802;400.0;431.8198;445.0;431.8198;400.0;368.18018;355.0;368.1802
8,0,370,570,;6;5;4;3;2;1;0;7;370.0;338.1802;325.0;338.1802;370.0;401.8198;415.0;401.8198;525.0;538.1802;570.0;601.8198;615.0;601.8198;570.0;538.1802
9,0,541,640,;0;7;6;5;4;3;2;1;586.0;572.8198;541.0;509.1802;496.0;509.1802;541.0;572.8198;640.0;608.1802;595.0;608.1802;640.0;671.8198;685.0;671.8198
10,1,641,640,;4;5;6;7;0;1;2;3;596.0;609.1802;641.0;672.8198;686.0;672.8198;641.0;609.1802;640.0;608.1802;595.0;608.1802;640.0;671.8198;685.0;671.8198
11,0,711,570,;6;5;4;3;2;1;0;7;711.0;679.1802;666.0;679.1802;711.0;742.8198;756.0;742.8198;525.0;538.1802;570.0;601.8198;615.0;601.8198;570.0;538.1802
12,1,711,470,;6;7;0;1;2;3;4;5;711.0;679.1802;666.0;679.1802;711.0;742.8198;756.0;742.8198;515.0;501.8198;470.0;438.1802;425.0;438.18018;470.0;501.8198
13,0,641,399,;4;3;2;1;0;7;6;5;596.0;609.1802;641.0;672.8198;686.0;672.8198;641.0;609.1802;399.0;430.8198;444.0;430.8198;399.0;367.18018;354.0;367.1802
14,1,541,399,;0;1;2;3;4;5;6;7;586.0;572.8198;541.0;509.1802;496.0;509.1802;541.0;572.8198;399.0;430.8198;444.0;430.8198;399.0;367.1802;354.0;367.18018
15,1,370,470,;6;7;0;1;2;3;4;5;370.0;338.1802;325.0;338.1802;370.0;401.8198;415.0;401.8198;515.0;501.8198;470.0;438.1802;425.0;438.18018;470.0;501.8198
