0,1,469,428,;6;7;0;1;2;3;4;5;469.0;437.1802;424.0;437.1802;469.0;500.8198;514.0;500.8198;473.0;459.8198;428.0;396.1802;383.0;396.18018;428.0;459.8198
1,0,369,428,;2;1;0;7;6;5;4;3;369.0;400.8198;414.0;400.8198;369.0;337.1802;324.0;337.1802;473.0;459.8198;428.0;396.18018;383.0;396.1802;428.0;459.8198
2,1,298,498,;0;1;2;3;4;5;6;7;343.0;329.8198;298.0;266.1802;253.0;266.1802;298.0;329.8198;498.0;529.8198;543.0;529.8198;498.0;466.1802;453.0;466.18018
3,0,539,498,;4;3;2;1;0;7;6;5;494.0;507.1802;539.0;570.8198;584.0;570.8198;539.0;507.1802;498.0;529.8198;543.0;529.8198;498.0;466.18018;453.0;466.1802
4,1,539,598,;4;5;6;7;0;1;2;3;494.0;507.1802;539.0;570.8198;584.0;570.8198;539.0;507.1802;598.0;566.1802;553.0;566.1802;598.0;629.8198;643.0;629.8198
5,0,469,669,;6;5;4;3;2;1;0;7;469.0;437.1802;424.0;437.1802;469.0;500.8198;514.0;500.8198;624.0;637.1802;669.0;700.8198;714.0;700.8198;669.0;637.1802
6,1,369,669,;2;3;4;5;6;7;0;1;369.0;400.8198;414.0;400.8198;369.0;337.1802;324.0;337.1802;624.0;637.1802;669.0;700.8198;714.0;700.8198;669.0;637.1802
7,0,298,598,;0;7;6;5;4;3;2;1;343.0;329.8198;298.0;266.1802;253.0;266.1802;298.0;329.8198;598.0;566.1802;553.0;566.1802;598.0;629.8198;643.0;629.8198
8,0,369,769,;2;1;0;7;6;5;4;3;369.0;400.8198;414.0;400.8198;369.0;337.1802;324.0;337.1802;814.0;800.8198;769.0;737.1802;724.0;737.1802;769.0;800.8198
9,1,469,769,;6;7;0;1;2;3;4;5;469.0;437.1802;424.0;437.1802;469.0;500.8198;514.0;500.8198;814.0;800.8198;769.0;737.1802;724.0;737.1802;769.0;800.8198
10,0,198,498,;4;3;2;1;0;7;6;5;153.0;166.18019;198.0;229.81981;243.0;229.8198;198.0;166.18019;498.0;529.8198;543.0;529.8198;498.0;466.18018;453.0;466.1802
11,1,198,598,;4;5;6;7;0;1;2;3;153.0;166.18019;198.0;229.8198;243.0;229.81981;198.0;166.18019;598.0;566.1802;553.0;566.1802;598.0;629.8198;643.0;629.8198
12,1,269,769,;6;7;0;1;2;3;4;5;269.0;237.18019;224.0;237.18019;269.0;300.8198;314.0;300.8198;814.0;800.8198;769.0;737.1802;724.0;737.1802;769.0;800.8198
13,0,198,698,;4;3;2;1;0;7;6;5;153.0;166.18019;198.0;229.81981;243.0;229.8198;198.0;166.18019;698.0;729.8198;743.0;729.8198;698.0;666.1802;653.0;666.1802
14,0,709,568,;6;5;4;3;2;1;0;7;709.7107;677.89087;664.7107;677.89087;709.7107;741.5305;754.7107;741.5305;523.7107;536.89087;568.7107;600.5305;613.7107;600.5305;568.7107;536.89087
