0,1,327,368,;6;7;0;1;2;3;4;5;327.0;295.1802;282.0;295.1802;327.0;358.8198;372.0;358.8198;413.0;399.8198;368.0;336.1802;323.0;336.18018;368.0;399.8198
1,0,327,468,;6;5;4;3;2;1;0;7;327.0;295.1802;282.0;295.1802;327.0;358.8198;372.0;358.8198;423.0;436.1802;468.0;499.8198;513.0;499.8198;468.0;436.18018
2,1,398,539,;0;1;2;3;4;5;6;7;443.0;429.8198;398.0;366.1802;353.0;366.1802;398.0;429.8198;539.0;570.8198;584.0;570.8198;539.0;507.1802;494.0;507.18018
3,0,498,539,;4;3;2;1;0;7;6;5;453.0;466.1802;498.0;529.8198;543.0;529.8198;498.0;466.1802;539.0;570.8198;584.0;570.8198;539.0;507.18018;494.0;507.1802
4,1,498,639,;4;5;6;7;0;1;2;3;453.0;466.1802;498.0;529.8198;543.0;529.8198;498.0;466.1802;639.0;607.1802;594.0;607.1802;639.0;670.8198;684.0;670.8198
5,0,398,639,;0;7;6;5;4;3;2;1;443.0;429.8198;398.0;366.1802;353.0;366.1802;398.0;429.8198;639.0;607.1802;594.0;607.1802;639.0;670.8198;684.0;670.8198
6,1,298,639,;4;5;6;7;0;1;2;3;253.0;266.1802;298.0;329.8198;343.0;329.8198;298.0;266.1802;639.0;607.1802;594.0;607.1802;639.0;670.8198;684.0;670.8198
7,0,227,568,;2;1;0;7;6;5;4;3;227.0;258.8198;272.0;258.8198;227.0;195.18019;182.0;195.18019;613.0;599.8198;568.0;536.1802;523.0;536.1802;568.0;599.8198
8,1,227,468,;2;3;4;5;6;7;0;1;227.0;258.8198;272.0;258.8198;227.0;195.18019;182.0;195.18019;423.0;436.18018;468.0;499.8198;513.0;499.8198;468.0;436.1802
9,0,227,368,;2;1;0;7;6;5;4;3;227.0;258.8198;272.0;258.8198;227.0;195.18019;182.0;195.18019;413.0;399.8198;368.0;336.18018;323.0;336.1802;368.0;399.8198
10,0,397,297,;0;7;6;5;4;3;2;1;442.0;428.8198;397.0;365.1802;352.0;365.1802;397.0;428.8198;297.0;265.18018;252.0;265.1802;297.0;328.8198;342.0;328.8198
11,1,497,297,;4;5;6;7;0;1;2;3;452.0;465.1802;497.0;528.8198;542.0;528.8198;497.0;465.1802;297.0;265.1802;252.0;265.18018;297.0;328.8198;342.0;328.8198
12,0,568,368,;2;1;0;7;6;5;4;3;568.0;599.8198;613.0;599.8198;568.0;536.1802;523.0;536.1802;413.0;399.8198;368.0;336.18018;323.0;336.1802;368.0;399.8198
13,1,568,468,;2;3;4;5;6;7;0;1;568.0;599.8198;613.0;599.8198;568.0;536.1802;523.0;536.1802;423.0;436.18018;468.0;499.8198;513.0;499.8198;468.0;436.1802
