0,0,540,440,;0;7;6;5;4;3;2;1;585.0;571.8198;540.0;508.1802;495.0;508.1802;540.0;571.8198;440.0;408.18018;395.0;408.1802;440.0;471.8198;485.0;471.8198
1,1,540,540,;0;1;2;3;4;5;6;7;585.0;571.8198;540.0;508.1802;495.0;508.1802;540.0;571.8198;540.0;571.8198;585.0;571.8198;540.0;508.1802;495.0;508.18018
2,1,440,440,;4;5;6;7;0;1;2;3;395.0;408.1802;440.0;471.8198;485.0;471.8198;440.0;408.1802;440.0;408.1802;395.0;408.18018;440.0;471.8198;485.0;471.8198
3,1,611,370,;6;7;0;1;2;3;4;5;611.0;579.1802;566.0;579.1802;611.0;642.8198;656.0;642.8198;415.0;401.8198;370.0;338.1802;325.0;338.18018;370.0;401.8198
4,0,711,370,;2;1;0;7;6;5;4;3;711.0;742.8198;756.0;742.8198;711.0;679.1802;666.0;679.1802;415.0;401.8198;370.0;338.18018;325.0;338.1802;370.0;401.8198
5,1,781,440,;4;5;6;7;0;1;2;3;736.0;749.1802;781.0;812.8198;826.0;812.8198;781.0;749.1802;440.0;408.1802;395.0;408.18018;440.0;471.8198;485.0;471.8198
6,0,781,540,;4;3;2;1;0;7;6;5;736.0;749.1802;781.0;812.8198;826.0;812.8198;781.0;749.1802;540.0;571.8198;585.0;571.8198;540.0;508.18018;495.0;508.1802
7,1,711,611,;2;3;4;5;6;7;0;1;711.0;742.8198;756.0;742.8198;711.0;679.1802;666.0;679.1802;566.0;579.1802;611.0;642.8198;656.0;642.8198;611.0;579.1802
8,0,611,611,;6;5;4;3;2;1;0;7;611.0;579.1802;566.0;579.1802;611.0;642.8198;656.0;642.8198;566.0;579.1802;611.0;642.8198;656.0;642.8198;611.0;579.1802
9,0,269,611,;6;5;4;3;2;1;0;7;269.0;237.18019;224.0;237.18019;269.0;300.8198;314.0;300.8198;566.0;579.1802;611.0;642.8198;656.0;642.8198;611.0;579.1802
10,1,198,540,;0;1;2;3;4;5;6;7;243.0;229.81981;198.0;166.18019;153.0;166.18019;198.0;229.8198;540.0;571.8198;585.0;571.8198;540.0;508.1802;495.0;508.18018
11,0,198,440,;0;7;6;5;4;3;2;1;243.0;229.8198;198.0;166.18019;153.0;166.18019;198.0;229.81981;440.0;408.18018;395.0;408.1802;440.0;471.8198;485.0;471.8198
12,1,269,370,;6;7;0;1;2;3;4;5;269.0;237.18019;224.0;237.18019;269.0;300.8198;314.0;300.8198;415.0;401.8198;370.0;338.1802;325.0;338.18018;370.0;401.8198
13,0,369,370,;2;1;0;7;6;5;4;3;369.0;400.8198;414.0;400.8198;369.0;337.1802;324.0;337.1802;415.0;401.8198;370.0;338.18018;325.0;338.1802;370.0;401.8198
14,1,369,611,;2;3;4;5;6;7;0;1;369.0;400.8198;414.0;400.8198;369.0;337.1802;324.0;337.1802;566.0;579.1802;611.0;642.8198;656.0;642.8198;611.0;579.1802
15,0,440,540,;4;3;2;1;0;7;6;5;395.0;408.1802;440.0;471.8198;485.0;471.8198;440.0;408.1802;540.0;571.8198;585.0;571.8198;540.0;508.18018;495.0;508.1802
