,;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;253;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641,;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;356;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458
,;494;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;681;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400,;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;311;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495
,;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;394;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507,;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;215;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629
,;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;565;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337,;482;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;427;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254
,;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;610;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337,;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;241;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495
,;253;266;298;329;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;539;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570,;356;324;311;324;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;553;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183
,;439;407;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;610;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266,;260;246;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;472;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387
,;394;407;439;470;484;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;414;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712,;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;527;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324
,;565;578;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;494;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;636;649;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;369;400;414;400;369;337;298;266;253;266;298;329;369;400;414;400,;286;254;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;598;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254
,;610;641;655;641;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;324;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578;565;578;610;641;681;712;726;712;681;649;610;578;565;578;584;570;539;507;494;470;439;407;369;337;324;337;343;329;324;337;369;400;414;400;394;407;439;470;484;507;539;570;610;641;655;641;610;578,;241;254;286;317;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;286;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458;427;395;382;395;401;387;356;324;311;324;331;317;286;254;215;183;170;183;215;246;260;246;241;254;286;317;356;387;427;458;472;495;527;558;598;629;643;629;598;566;553;566;572;558;527;495;482;458
