0,0,227,568,;2;1;0;7;6;5;4;3;227.0;258.8198;272.0;258.8198;227.0;195.18019;182.0;195.18019;613.0;599.8198;568.0;536.1802;523.0;536.1802;568.0;599.8198
1,1,297,638,;4;5;6;7;0;1;2;3;252.0;265.1802;297.0;328.8198;342.0;328.8198;297.0;265.1802;638.0;606.1802;593.0;606.1802;638.0;669.8198;683.0;669.8198
2,0,397,638,;0;7;6;5;4;3;2;1;442.0;428.8198;397.0;365.1802;352.0;365.1802;397.0;428.8198;638.0;606.1802;593.0;606.1802;638.0;669.8198;683.0;669.8198
3,1,397,538,;0;1;2;3;4;5;6;7;442.0;428.8198;397.0;365.1802;352.0;365.1802;397.0;428.8198;538.0;569.8198;583.0;569.8198;538.0;506.1802;493.0;506.18018
4,0,327,468,;6;5;4;3;2;1;0;7;327.0;295.1802;282.0;295.1802;327.0;358.8198;372.0;358.8198;423.0;436.1802;468.0;499.8198;513.0;499.8198;468.0;436.18018
5,1,227,468,;2;3;4;5;6;7;0;1;227.0;258.8198;272.0;258.8198;227.0;195.18019;182.0;195.18019;423.0;436.18018;468.0;499.8198;513.0;499.8198;468.0;436.1802
6,1,327,368,;6;7;0;1;2;3;4;5;327.0;295.1802;282.0;295.1802;327.0;358.8198;372.0;358.8198;413.0;399.8198;368.0;336.1802;323.0;336.18018;368.0;399.8198
7,0,427,368,;2;1;0;7;6;5;4;3;427.0;458.8198;472.0;458.8198;427.0;395.1802;382.0;395.1802;413.0;399.8198;368.0;336.18018;323.0;336.1802;368.0;399.8198
8,1,497,438,;4;5;6;7;0;1;2;3;452.0;465.1802;497.0;528.8198;542.0;528.8198;497.0;465.1802;438.0;406.1802;393.0;406.18018;438.0;469.8198;483.0;469.8198
9,0,497,538,;4;3;2;1;0;7;6;5;452.0;465.1802;497.0;528.8198;542.0;528.8198;497.0;465.1802;538.0;569.8198;583.0;569.8198;538.0;506.18018;493.0;506.1802
10,0,597,438,;0;7;6;5;4;3;2;1;642.0;628.8198;597.0;565.1802;552.0;565.1802;597.0;628.8198;438.0;406.18018;393.0;406.1802;438.0;469.8198;483.0;469.8198
11,1,597,338,;0;1;2;3;4;5;6;7;642.0;628.8198;597.0;565.1802;552.0;565.1802;597.0;628.8198;338.0;369.8198;383.0;369.8198;338.0;306.1802;293.0;306.18018
12,0,527,268,;6;5;4;3;2;1;0;7;527.0;495.1802;482.0;495.1802;527.0;558.8198;572.0;558.8198;223.0;236.1802;268.0;299.8198;313.0;299.8198;268.0;236.18019
13,1,427,268,;2;3;4;5;6;7;0;1;427.0;458.8198;472.0;458.8198;427.0;395.1802;382.0;395.1802;223.0;236.18019;268.0;299.8198;313.0;299.8198;268.0;236.1802
14,1,467,708,;2;3;4;5;6;7;0;1;467.7107;499.5305;512.7107;499.5305;467.7107;435.8909;422.7107;435.8909;663.7107;676.89087;708.7107;740.5305;753.7107;740.5305;708.7107;676.89087
15,1,667,508,;2;3;4;5;6;7;0;1;667.7107;699.5305;712.7107;699.5305;667.7107;635.89087;622.7107;635.89087;463.7107;476.89087;508.7107;540.5305;553.7107;540.5305;508.7107;476.8909
16,0,738,579,;0;7;6;5;4;3;2;1;783.4214;770.2412;738.4214;706.60156;693.4214;706.60156;738.4214;770.2412;579.4214;547.60156;534.4214;547.60156;579.4214;611.2412;624.4214;611.2412
17,0,538,779,;0;7;6;5;4;3;2;1;583.4214;570.2412;538.4214;506.6016;493.4214;506.6016;538.4214;570.2412;779.4214;747.60156;734.4214;747.60156;779.4214;811.2412;824.4214;811.2412
18,1,738,679,;0;1;2;3;4;5;6;7;783.4214;770.2412;738.4214;706.60156;693.4214;706.60156;738.4214;770.2412;679.4214;711.2412;724.4214;711.2412;679.4214;647.60156;634.4214;647.60156
19,1,638,779,;4;5;6;7;0;1;2;3;593.4214;606.60156;638.4214;670.2412;683.4214;670.2412;638.4214;606.60156;779.4214;747.60156;734.4214;747.60156;779.4214;811.2412;824.4214;811.2412
20,0,738,779,;0;7;6;5;4;3;2;1;783.4214;770.2412;738.4214;706.60156;693.4214;706.60156;738.4214;770.2412;779.4214;747.60156;734.4214;747.60156;779.4214;811.2412;824.4214;811.2412
