0,0,129,470,;2;1;0;7;6;5;4;3;129.0;160.81981;174.0;160.8198;129.0;97.18019;84.0;97.18019;515.0;501.8198;470.0;438.18018;425.0;438.1802;470.0;501.8198
1,1,129,570,;2;3;4;5;6;7;0;1;129.0;160.8198;174.0;160.81981;129.0;97.18019;84.0;97.18019;525.0;538.1802;570.0;601.8198;615.0;601.8198;570.0;538.1802
2,0,199,640,;0;7;6;5;4;3;2;1;244.0;230.8198;199.0;167.18019;154.0;167.18019;199.0;230.81981;640.0;608.1802;595.0;608.1802;640.0;671.8198;685.0;671.8198
3,1,299,640,;4;5;6;7;0;1;2;3;254.0;267.1802;299.0;330.8198;344.0;330.8198;299.0;267.1802;640.0;608.1802;595.0;608.1802;640.0;671.8198;685.0;671.8198
4,0,370,570,;6;5;4;3;2;1;0;7;370.0;338.1802;325.0;338.1802;370.0;401.8198;415.0;401.8198;525.0;538.1802;570.0;601.8198;615.0;601.8198;570.0;538.1802
5,1,370,470,;6;7;0;1;2;3;4;5;370.0;338.1802;325.0;338.1802;370.0;401.8198;415.0;401.8198;515.0;501.8198;470.0;438.1802;425.0;438.18018;470.0;501.8198
6,0,299,399,;4;3;2;1;0;7;6;5;254.0;267.1802;299.0;330.8198;344.0;330.8198;299.0;267.1802;399.0;430.8198;444.0;430.8198;399.0;367.18018;354.0;367.1802
7,1,199,399,;0;1;2;3;4;5;6;7;244.0;230.81981;199.0;167.18019;154.0;167.18019;199.0;230.8198;399.0;430.8198;444.0;430.8198;399.0;367.1802;354.0;367.18018
8,1,470,570,;2;3;4;5;6;7;0;1;470.0;501.8198;515.0;501.8198;470.0;438.1802;425.0;438.1802;525.0;538.1802;570.0;601.8198;615.0;601.8198;570.0;538.1802
9,0,470,470,;2;1;0;7;6;5;4;3;470.0;501.8198;515.0;501.8198;470.0;438.1802;425.0;438.1802;515.0;501.8198;470.0;438.18018;425.0;438.1802;470.0;501.8198
10,1,540,399,;0;1;2;3;4;5;6;7;585.7107;572.5305;540.7107;508.8909;495.7107;508.8909;540.7107;572.5305;399.2893;431.1091;444.2893;431.1091;399.2893;367.4695;354.2893;367.46948
11,0,640,399,;4;3;2;1;0;7;6;5;595.7107;608.89087;640.7107;672.5305;685.7107;672.5305;640.7107;608.89087;399.2893;431.1091;444.2893;431.1091;399.2893;367.46948;354.2893;367.4695
12,1,711,470,;6;7;0;1;2;3;4;5;711.4214;679.60156;666.4214;679.60156;711.4214;743.2412;756.4214;743.2412;515.0;501.8198;470.0;438.1802;425.0;438.18018;470.0;501.8198
13,0,711,570,;6;5;4;3;2;1;0;7;711.4214;679.60156;666.4214;679.60156;711.4214;743.2412;756.4214;743.2412;525.0;538.1802;570.0;601.8198;615.0;601.8198;570.0;538.1802
14,1,640,640,;4;5;6;7;0;1;2;3;595.7107;608.89087;640.7107;672.5305;685.7107;672.5305;640.7107;608.89087;640.7107;608.89087;595.7107;608.89087;640.7107;672.5305;685.7107;672.5305
15,0,540,640,;0;7;6;5;4;3;2;1;585.7107;572.5305;540.7107;508.8909;495.7107;508.8909;540.7107;572.5305;640.7107;608.89087;595.7107;608.89087;640.7107;672.5305;685.7107;672.5305
